ngram,cleaned
food_and_agriculture_organization,food agriculture organization
international_atomic_energy_agency,international atomic energy agency
international_civil_aviation_organization,international civil aviation organization
international_civil_service_commission,international civil service commission
international_fund_for_agricultural_development,international fund agricultural development
international_labour_organization,international organization
international_maritime_organization,international maritime organization
international_telecommunication_union,international telecommunication union
international_trade_centre,international trade
joint_inspection_unit,joint inspection unit
joint_united_nations_programme_on_hiv/aids,joint united nation aid
office_of_the_united_nations_high_commissioner_for_human_rights,office united nation high commissioner human right
office_of_the_united_nations_high_commissioner_for_refugees,office united nation high commissioner refugee
organization_for_the_prohibition_of_chemical_weapons,organization prohibition chemical weapon
preparatory_commission_for_the_comprehensive_nuclear_test_ban_treaty_organization,preparatory commission comprehensive nuclear test ban treaty organization
united_nations_children_fund,united nation 
